line_item_name,line_item_description,canonical_vendor_name,canonical_line_item_name
Office 365 E3,07/01/2019 - 07/06/2019,Microsoft,Office 365 E3
Backup,Azure VM and onpremises Server Protected Instances,Microsoft Azure,Backup: Azure VM and onpremises Server Protected Instances
Backup,GRS Data Stored,Microsoft Azure,Backup: GRS Data Stored
Bandwidth,Data Transfer Out Zone 1,Microsoft Azure,Bandwidth: Data Transfer Out Zone 1
Storage,General Block Blob LRS Data Stored,Microsoft Azure,Storage: Files LRS Data Stored
Storage,Files LRS Data Stored,Microsoft Azure,Storage: Files LRS Data Stored
Storage General Block Blob,LRS Data Stored,Microsoft Azure,Storage: General Block Blob LRS Data Stored
Storage,General Block Blob Read Operations,Microsoft Azure,Storage: General Block Blob Read Operations
Storage General Block Blob,Read Operations,Microsoft Azure,Storage: General Block Blob Read Operations
Storage,General Block Blob Write Operations,Microsoft Azure,Storage: General Block Blob Write Operations
Storage,Premium Page Blob LRS Snapshots US East,Microsoft Azure,Storage: Premium Page Blob LRS Snapshots US East
Storage,Premium SSD Managed Disks LRS Snapshots US East,Microsoft Azure,Storage: Premium SSD Managed Disks LRS Snapshots US East
Storage,Premium SSD Managed Disks P30 Disks US East,Microsoft Azure,Storage: Premium SSD Managed Disks P10 Disks US East
Storage,Premium SSD Managed Disks P10 Disks US East,Microsoft Azure,Storage: Premium SSD Managed Disks P10 Disks US East
Storage Premium SSD Managed Disks,P10 Disks,Microsoft Azure,Storage: Premium SSD Managed Disks P10 Disks US East
Storage Premium SSD Managed Disks,P30 Disks,Microsoft Azure,Storage: Premium SSD Managed Disks P30
Storage Standard HDD Managed Disks,Disk Operations,Microsoft Azure,Storage: Standard HDD Managed Disks Disk Operations
Storage,Standard HDD Managed Disks LRS Snapshots US East,Microsoft Azure,Storage: Standard HDD Managed Disks LRS Snapshots US East
Storage,Standard Page Blob Disk Read Operations,Microsoft Azure,Storage: Standard Page Blob Disk Read Operations
Storage Standard Page Blob,LRS Data Stored,Microsoft Azure,Storage: Standard Page Blob LRS Data Stored
Storage,Standard SSD Managed Disks E10 Disks US East,Microsoft Azure,Storage: Standard SSD Managed Disks E10 Disks US East
Storage,Tables Batch Write Operation,Microsoft Azure,Storage: Tables Batch Write Operations
Storage Tables,LRS Data Stored,Microsoft Azure,Storage: Tables LRS Data Stored
Storage,Tables Read Operations,Microsoft Azure,Storage: Tables Read Operations
Virtual Machines BS Series Windows,B4ms,Microsoft Azure,Virtual Machines
Virtual Network,IP Addresses Dynamic Public IP,Microsoft Azure,Virtual Network
VPN Gateway,Basic Gateway,Microsoft Azure,VPN Gateway
Storage charge (60 GB),,mLab,Storage charge (60 GB)
Atlas Data Storage,"11,880 GB hours @ $0.000182 / GB hour",Mongo DB,Atlas Data Storage
Atlas Data Storage,"133,920 GB hours @ $0.000182 / GB hour",Mongo DB,Atlas Data Storage
Atlas Data Transfer,60.891 GB @ $0.010000 / GB,Mongo DB,Atlas Data Transfer
Atlas Data Transfer,5.397 GB @ $0.020000 / GB,Mongo DB,Atlas Data Transfer
Atlas Data Transfer,133.429 GB @ $0.020000 / GB,Mongo DB,Atlas Data Transfer
Atlas Data Transfer,0.247 GB @ $0.090000 / GB,Mongo DB,Atlas Data Transfer
Atlas Developer,,Mongo DB,Atlas Developer
Atlas Instances,9 server hours @ $0.026000 / server hour,Mongo DB,Atlas Instances
Atlas Instances,"2,232 server hours @ $0.067000 / server hour",Mongo DB,Atlas Instances
Snapshot Backup,16.386 GB days @ $0.004603 / GB day,Mongo DB,Snapshot Backup
Snapshot Backup,"1,144.495 GB days @ $0.004603 / GB day",Mongo DB,Snapshot Backup
Travel and other costs as specified in attachment for 2018 and up to Feb 2019,,Open Ocean UK,Travel and other costs
Oracle Apiary Cloud Service,"Usage Billing - B88650 : Oracle Apiary Cloud Service - Standard - User Per Month : 01-Apr-2020 - 30-Apr-2020, Acc. Name : cacct-a01394f26f3647f8880b94f29769ceda",Oracle,Oracle Apiary Cloud Service
Task Order No. 3 - Actuarial Ad Hoc,Accredited Actuary,Perr&Knight,Hourly Services: Accredited Actuary
Task Order No. 3 - Actuarial,Accredited Actuary,Perr&Knight,Hourly Services: Accredited Actuary
Monthly Premium_Loss Reporting,Accredited Actuary,Perr&Knight,Hourly Services: Accredited Actuary
Task Order No. 3 - Actuarial Ad Hoc,Actuarial Consultant,Perr&Knight,Hourly Services: Actuarial Consultant
Monthly Premium_Loss Reporting,Non-Accredited Actuary,Perr&Knight,Hourly Services: Non-Accredited Actuary
Task Order No. 3,Principal & Consulting Actuary,Perr&Knight,Hourly Services: Principal & Consulting Actuary
Verifly Artisan Contract,Product Design Consultant,Perr&Knight,Hourly Services: Product Design Consultant
Task Order No. 3 - Product Design Ad Hoc,Product Design Consultant,Perr&Knight,Hourly Services: Product Design Consultant
Product Design Director,Product Design Director,Perr&Knight,Hourly Services: Product Design Director
Task Order No. 3 - Product Design Ad Hoc,Product Design Director,Perr&Knight,Hourly Services: Product Design Director
Verifly Artisan Contract,Product Design Director,Perr&Knight,Hourly Services: Product Design Director
Task Order No. 3 - Product Design Ad Hoc,Product Design Senior Consultant,Perr&Knight,Hourly Services: Product Design Senior Consultant
Verifly Artisan Contract,Product Design Senior Consultant,Perr&Knight,Hourly Services: Product Design Senior Consultant
Task Order No. 3 - Product Design Ad Hoc,Travel Expenses,Perr&Knight,Travel Expenses
Pingdom Advanced - Monthly,,Pingdom,Pingdom Advanced
Pingdom Standard,,Pingdom,Pingdom Standard
Marketing Services,Content Project (Payment 3 of 3),Power Digital Marketing,Marketing Services
*Marketing Services*,Refer to the contract for a complete breakdown of services,Power Digital Marketing,Marketing Services
Marketing Services,Refer to the contract for a complete breakdown of services - November,Power Digital Marketing,Marketing Services
Helper,Furniture Assembly,Q Services New York,Furniture Assembly
1,Verifly_CPC - SmallBusinessInsurance: SureHits Marketplaces - Traffic Purchased (Clicks) : Verifly Bus Ins : 1096 clicks: 01-JUN-2019 to 30-JUN-2019,QuinStreet,SmallBusinessInsurance: SureHits Marketplaces - Traffic Purchased 
Consulting,"Brand Development, Naming (5 of 5)",Red Antler,"Consulting: Brand Development, Naming"
Consulting,Brand Scope Expansion (initial deposit invoice),Red Antler,Consulting: Brand Scope Expansion
Consulting,Content Production (2 of 2),Red Antler,Consulting: Content Production
Consulting,Launch Campaign & Digital Development (initial deposit invoice),Red Antler,Consulting: Launch Campaign & Digital Development
Reply. 3000 contacts,,Reply,Reply. 3000 contacts
Fee for permanent placement,Role: Copywriter,Salt Staffing,Fee for Permanent Placement
Fee for permanent placement,Role: Strategic Partnerships Manager,Salt Staffing,Fee for Permanent Placement
Business Tier Subscription,"Service fee of $11,600.00 for the service term",Segment,Business Tier Subscription
Personas Advanced,"Service fee of $10,800.00 for the service term",Segment,Personas Advanced
GURU,,Semrush Competitive Intelligence,GURU Subscription
Contact List Storage,Contact list database usage for SendGrid Marketing Campaigns - $10 per 10k contacts,SendGrid,Contact List Storage
Email Activity History - Pro 100K: 30 Days,30 day email activity history and API access,SendGrid,Email Activity History - Pro 100K: 30 Days
Pro 100K,"Pro 100K includes 100,000 email credits per month, $0.00085 per email thereafte",SendGrid,Pro 100K
Pro 100K,"Pro 100K includes 100,000 email credits per month, $0.00085 per email thereafter.",SendGrid,Pro 100K
Pro 100k,"Pro 100K includes 100,000 email credits per month, $0.001 per email thereafter.",SendGrid,Pro 100K
Pro 100k,"Pro 100K includes 100,000 email credits per month, $0.001 per email thereafter",SendGrid,Pro 100K
The Best Team Wins,,Simon & Schuster,The Best Team Wins
Plus plan,Refund for users removed since date of last payment,Slack,Fair billing credits
25 active users,Plus plan,Slack,Plus plan
Plus plan,active users,Slack,Plus plan
Renewal,"Plan: Plus, billed monthly for 27 active members Plan term: 6/2/20 - 7/2/20",Slack,Plus plan
Article,Test Article for Hiring Process -- Professional Liability Insurance,Smart Target Content & SEO,Article
Capacity - Upfront Purchase - Service through 11/25/2020 *,,Snowflake,Capacity Annual Purchase
"Staples Carder Mesh Back Fabric Computer and Desk Chair, Black (24115-CC)","Staples Carder Mesh Back Fabric Computer and Desk Chair, Black (24115-CC)",Staples,"Staples Carder Mesh Back Fabric Computer and Desk Chair, Black (24115-CC)"
1 Gbps-Shared,Internet Access : New York - Chinatown / LES - Stealth Fiber 161 Bowery; Fl 2 206.252.208.100/30,Stealth Communications,1 Gbps-Shared Internet Access
"20QD000BUS: Lenovo ThinkPad X1 Carbon (7th Gen) 20QD - Ultrabook - Core i5 8265U / 1.6 GHz - Win 10 Pro 64-bit - 8 GB RAM - 256 GB SSD TCG Opal Encryption 2, NVMe - 14"" IPS 1920 x 1080 (Full HD) - UHD Graphics 620 - Wi-Fi, Bluetooth - black paint - kbd: US",,STI Products,20QD000BUS: Lenovo ThinkPad X1 Carbon (7th Gen) 20QD
"20QD000BUS: Lenovo ThinkPad X1 Carbon (7th Gen) 20QD - Ultrabook - Core i5 8265U / 1.6 GHz - Win 10 Pro 64-bit - 8 GB RAM - 256 GB SSD TCG Opal Encryption 2, NVMe - 14"" IPS 1920 x 1080 (Full HD) - UHD Graphics 620 - Wi-Fi, Bluetooth - black paint - kbd: US",LENOVO THINKPAD X1 CARBON,STI Products,20QD000BUS: Lenovo ThinkPad X1 Carbon (7th Gen) 20QD
"27MU88-W: LG ELECRONICS USA : LCD Display - 16 9 UHD 4K IPS - 27 Inch - 3840 x 2160 - 300nits - 1,000:1 - 5 Ms - 0.1554 x 0.1554 Mm",,STI Products,27MU88-W: LG ELECRONICS USA : LCD Display - 16 9 UHD
Acer SB220Q: Acer SB220Q bi 21.5 inch Full HD,,STI Products,Acer SB220Q bi 21.5 inch Full HD
"ankerUSB: Anker USB C Hub Adapter, 5-in-1 USB C Adapter",,STI Products,"ankerUSB: Anker USB C Hub Adapter, 5-in-1 USB C Adapter"
BSENTS001a: Barracuda Sentinel for Office 365 - subscription license (1 year): Billed Monthly,,STI Products,Barracuda Sentinel for Office 365 - subscription license (1 year): Billed Monthly
CRA-1yr-PLM: Cyber Risk Aware 50 Users - 1-Year Subscription - Platinum Package,,STI Products,CRA-1yr-PLM: Cyber Risk Aware - 1-Year Subscription
Logitech: Logitech MK270 Wireless Keyboard and Mouse Combo,,STI Products,Logitech MK270 Wireless Keyboard and Mouse Combo
Agreement Cybersecurity Program Implementation & Operations - Part 1,Fixed cost monthly for resources as specified in deliverables section (Billed Monthly for 6 Months),STIGroup,Agreement Cybersecurity Program Implementation & Operations - Part 1
Agreement Billable Expenses: Support T&M Computer Asset,Support T&M Computer Asset,STIGroup,Billable Expenses
Billable Expenses,Postage,STIGroup,Billable Expenses
Consultant,Penelope Subotin,STIGroup,Billable Time - Consultant
Consultant,Jonathan Kobrick,STIGroup,Billable Time - Consultant
Consultant,Aziz Yacini,STIGroup,Billable Time - Consultant
Billable Services,Consultant,STIGroup,Billable Time - Consultant
Agreement Billable Time: Support T&M,Consultant,STIGroup,Billable Time - Consultant
Consultant,Ajoykumar Rajasekaran,STIGroup,Billable Time - Consultant
Consultant,Michael Diaz,STIGroup,Billable Time - Consultant
Engineer,Candice Parisi,STIGroup,Billable Time - Engineer
Engineer,Eric Lester,STIGroup,Billable Time - Engineer
Engineer,Nihir Jariwala,STIGroup,Billable Time - Engineer
Engineer,Michael Simmons,STIGroup,Billable Time - Engineer
Non-Billable Services,Consultant,STIGroup,Non-Billable Time: Support T&M
Agreement Non-Billable Time: Support T&M,Engineer,STIGroup,Non-Billable Time: Support T&M
Agreement NYDFS Cybersecurity Program Implementation & Operations - Part 1 Fixed cost monthly for resources as specified in deliverables section (Billed Monthly for 6 Months),Fixed cost monthly for resources as specified in deliverables section (Billed Monthly for 6 Months),STIGroup,NYDFS Cybersecurity Program Implementation & Operations
Stitch: Standard Plan (Monthly),10 Rounded Million Rows,Stitch,Stitch: Standard Plan (Monthly)
General Cleaning,Monday - Friday,Summit Facility Solutions,General Cleaning
[Calendly] Corporate Meeting Virtual Tour with Han Dang,,Sweet Farm Foundation,Corporate Meeting Virtual Tour
Pop Secret Movie Theater ‰Û_,,Target,Pop Secret Movie Theater...
"Scotch 12"" x 60' Cushion",,Target,"Scotch 12"" x 60' Cushion"
Scotch Heavy Duty Shippi‰Û_,,Target,Scotch Heavy Duty Shippi...
Skittles Original Theater B‰Û_,,Target,Skittles Original Theater B...
Sour Patch Kids Soft & Ch...,,Target,Sour Patch Kids Soft & Ch...
Sour Patch Watermelon Gu...,,Target,Sour Patch Watermelon Gu...
Two TechNY Daily Job Postings - three month duration with unlimited free renewal upon request,,TechNY Daily,Job Postings
Conference Sponsorship,"Agency Nation Elevate 2020 Conference; May 31 - June 2, 2020",TrustedChoice.com,Conference Sponsorship
Domain Privacy Registration Fees via $261.70,,Waltz Media Group,Domain Privacy Registration Fees
IP/Domain Acquisition Thimble.com Commission Fee,,Waltz Media Group,IP/Domain Acquisition Commission Fee
"Business Hosting (Year, USD) (at $432.00 / year), from May 13th 2019 to May 13th 2020",,Webflow,Business Hosting
Expenses,Buzzy P&C and surplus line Tennessee renewal $65 for P&C renewal $125 for Surplus line renewal Total $190,Westmont Associates,Expenses: Buzzy P&C and Surplus Line Renewal
Filing Fees,"Verifly agency entity renewals in the following states with the accompanying state fees: Connecticut ($165), Kentucky ($5), Louisiana ($60), South Carolina ($45), and Wisconsin ($75).",Westmont Associates,Expenses: Filing Fees
Filing Fees,Vertafore,Westmont Associates,Expenses: Filing Fees
Filing Fees,Monthly UPS shipments(s).,Westmont Associates,Expenses: Filing Fees
Filing Fees,Verifly Minnesota entity renewal.  $205 state fee,Westmont Associates,Expenses: Filing Fees
Expenses,"J. Smith License copies South Dakota, Wyoming an IN charge $5.50 to obtain license copies $1.29 to pull PDB $5.50 x 3= 16.5 16.5+1.29= $17.79",Westmont Associates,Expenses: Filing Fees
Expenses,J.Smith Mississippi Licnese copy $25.00 State Fee + $7.20 Sircon Processing Fee Total= $32.20,Westmont Associates,Expenses: Filing Fees
Filing Fees,Add T. OConnor as DP in California. $32 state fee.,Westmont Associates,Expenses: Filing Fees
Filing Fees,Submit DBA name registration to New York Secretary of State. $1975 state fee,Westmont Associates,Expenses: Filing Fees
Filing Fees,Verifly entity renewals in Arkansas ($40 state fee) and Ohio ($30 state fee). $70 total,Westmont Associates,Expenses: Filing Fees
Filing Fees,"T. O'Connor renewals in Alabama ($75 state fee), Nebraska ($55) and South Dakota ($85 state fee). $215 total",Westmont Associates,Expenses: Filing Fees
EX Verifly agency Hawaii renewal. $150 state fee,Filing Fees,Westmont Associates,Expenses: Filing Fees
Filing Fees,"Verifly entity renewals in the following states with the accompanying state fees: Arizona ($125), Indiana ($95), Kansas ($55), Maryland ($74), Nebraska ($55), New Mexico ($125), North Carolina ($139), Tennessee ($65), Texas P&C ($55), and Texas Personal Liens ($55). Total = $843",Westmont Associates,Expenses: Filing Fees
Filing Fees,West Virginia Secretary of State DBA filing. $25 state fee.,Westmont Associates,Expenses: Filing Fees
Filing Fees,Secretary of State DBA Name Registration in South Dakota. $10 state fee,Westmont Associates,Expenses: Filing Fees
Filing Fees,Secretary of State DBA Name Registration in District of Columbia. $105 state fee,Westmont Associates,Expenses: Filing Fees
Filing Fees,Secretary of State DBA Name Registration in Ohio. $139 state fee,Westmont Associates,Expenses: Filing Fees
Filing Fees,Mississippi Secretary of State DBA Registration. $27.59 state fee.,Westmont Associates,Expenses: Filing Fees
Filing Fees,Submit Secretary of State DBA Additions to Utah ($22 state fee) and Tennessee ($20.46 state fee). Total = 42.26,Westmont Associates,Expenses: Filing Fees
Filing Fees,Monthly expenses. Please See Attached.,Westmont Associates,Expenses: Filing Fees
Professional Services,BRH,Westmont Associates,Hourly Services: BRH
General,"Updated status charts. Followed up with California, Kansas and New York to verify F. Hughes' renewals.",Westmont Associates,Hourly Services: CC
General,Conducted search of potential new name by state,Westmont Associates,Hourly Services: CC
General,DJR,Westmont Associates,Hourly Services: DJR
General,EB,Westmont Associates,Hourly Services: EB
Professional Services,JFO,Westmont Associates,Hourly Services: JFO
KGL,Submit F Hughes DP Termination in Kentucky,Westmont Associates,Hourly Services: KGL
LM,COI signing correspondence,Westmont Associates,Hourly Services: LM
General,New York Cyber filing instructions,Westmont Associates,Hourly Services: LM
General,T. O'Connor New York Cyber filing requirements correspondence,Westmont Associates,Hourly Services: LM
LM,DRLP correspondence,Westmont Associates,Hourly Services: LM
Agent,Work with J. Smith on Designated Producer onboarding.,Westmont Associates,Hourly Services: LM
General,Officer resolution correspondence,Westmont Associates,Hourly Services: LM
General,Producer onboarding correspondence,Westmont Associates,Hourly Services: LM
General,Entity name search Department of Insurance and Secretary of State,Westmont Associates,Hourly Services: LM
General,Contact information correspondence and Secretary of State question,Westmont Associates,Hourly Services: LM
General,Background question guidance for new DP,Westmont Associates,Hourly Services: LM
General,Referral call and correspondence,Westmont Associates,Hourly Services: LM
LM,J. Smith DRLP correspondence regarding affirmative background questions. State correspondence regarding warehouse uploads.,Westmont Associates,Hourly Services: LM
LM,DRLP change correspondence,Westmont Associates,Hourly Services: LM
SR,Review correspondence from D. Bixler re: referral agreement; conference call with clients; review and revise customer availability section of website and du with D. Bixler re: same.,Westmont Associates,Hourly Services: SR
General,Review proposed referral program and follow-up with L. Marro re: potential issues and state requirements; research earlier draft agreements; pull final versions from folder and forward to clients.,Westmont Associates,Hourly Services: SR
SR,Review questions and proposed revisions to producer agreement; respond to same and draft revised language; follow-up with R. Cera.,Westmont Associates,Hourly Services: SR
Flat Fee,"Verifly entity renewal in the following states: Alaska, California, Colorado, District of Columbia, Idaho, Illinois, New Hampshire, New Jersey, Oregon, Pennsylvania, South Dakota, Utah, West Virginia, and Washington. $50 per entity renewal x 14 = $700",Westmont Associates,Non-Hourly Services: A&A
Flat Fee,Monthly flat fee for use of Buzzy licenses,Westmont Associates,Non-Hourly Services: A&A
Flat Fee,Processed 27 license applications for J. Smith at $65.00 per.,Westmont Associates,Non-Hourly Services: A&A
Flat Fee,"Verifly entity renewals in the following states: Arizona, Indiana, Kansas, Maryland, Nebraska, New Mexico, North Carolina, Tennessee, Texas P&C, and Texas Personal Lines. $55 per agency renewal x 10 = $550",Westmont Associates,Non-Hourly Services: A&A
Flat Fee,A&A,Westmont Associates,Non-Hourly Services: A&A
professional services rendered,Book-keeping services for the quarter ended 30th September 2019.  Completion and online filing of your VAT returns for the quarter ended 30th September 2019.,Wilson Stevens,Book-keeping Services
Book-keeping services,Completion and online filing of your VAT returns for the quarter ended 30th June 2019.,Wilson Stevens,Book-keeping Services
Service address charge x4,Service address charge x4,Wilson Stevens,Service address charge
Disbursement Fees,Base filing fee to USDHS,Wolfsdorf Rosenthal,Disbursement Fees: Base filing fee to USDHS
Disbursement Fees,Premium processing fee to USDHS,Wolfsdorf Rosenthal,Disbursement Fees: Premium processing fee to USDHS
Global Immigration - Canada,"Advice, drafting of letter, answering questions related to Canadian visa application, and prep call with Suhoo.",Wolfsdorf Rosenthal,Legal Fees
B-1/2 Application at U.S. Consulate,Legal fee,Wolfsdorf Rosenthal,Legal Fees
Legal fee,Soo Ho SONG O-1B Consular Notification,Wolfsdorf Rosenthal,Legal Fees
Workable Annual Plan - Platform fee,,Workable,Workable Annual Plan - Platform fee
WPBakery Page Builder (Regular License) One year of premium class support and free updates.,,WPBakery Page Builder,WPBakery Page Builder (Regular License)
Mark Android,1. smb Android 2.2.0,Xiamen ZhiZhi Tech,Android: Mark
Mark Android,0 1. smb Android 2.2.0,Xiamen ZhiZhi Tech,Android: Mark
Mark Android,1. Drone Android Segment Integration 2. New Insurance Products for Android,Xiamen ZhiZhi Tech,Android: Mark
Brian API,1. policy modification project,Xiamen ZhiZhi Tech,API: Brian
API,1. Form/PDF Engine 2. Apple Pay API support 3. Stripe Update,Xiamen ZhiZhi Tech,API: Brian
Brian API,1. Form/PDF Engine 2. Open API development,Xiamen ZhiZhi Tech,API: Brian
API,1. Broker Payment Update 2. ElasticSearch Changes 3. Persistent Webapp,Xiamen ZhiZhi Tech,API: Emily
Emily API,broker payment,Xiamen ZhiZhi Tech,API: Emily
API,1. Arch/Infrastructure 2. Open API Development 3. Security Improvement 4. Form/PDF Engine,Xiamen ZhiZhi Tech,API: Gary
Gary API,1. smb arch design  2. webapp cloudfront issue,Xiamen ZhiZhi Tech,API: Gary
Gary API,1. Arch/Infrastructure 2. Open API Development 3. Security Improvement 4. Form/PDF Engine,Xiamen ZhiZhi Tech,API: Gary
Matthew API,1. smb api  2. Policy Modification,Xiamen ZhiZhi Tech,API: Matthew
Matthew Java,1. smb api 2. Policy Modification,Xiamen ZhiZhi Tech,API: Matthew
Matthew API,1. Database Maintenance 2. Database Performance Tuning 3. Quick Wins,Xiamen ZhiZhi Tech,API: Matthew
Olivia API,api workload,Xiamen ZhiZhi Tech,API: Olivia
Olivia API,1. Quick Wins 2. Form Engine,Xiamen ZhiZhi Tech,API: Olivia
API,1. Customer Referral (API changes) 2. KY API Changes,Xiamen ZhiZhi Tech,API: Punky
Winnie API,1. new states project (ND/KY),Xiamen ZhiZhi Tech,API: Winnie
Winnie API,broker payment project,Xiamen ZhiZhi Tech,API: Winnie
Isaac Arch,1. Weekly Report  2. General Stuffs 3. Arch,Xiamen ZhiZhi Tech,Arch: Isaac
Mike Data,1. snowflake / looker / FiveTran 2. looker and data scripts,Xiamen ZhiZhi Tech,Data: Mike
Tab iOS,1. smb iOS 2.4.x,Xiamen ZhiZhi Tech,iOS: Tab
Tab iOS,1. smb iOS 2.2.0,Xiamen ZhiZhi Tech,iOS: Tab
4 Tab iOS,1. smb iOS 2.2.0,Xiamen ZhiZhi Tech,iOS: Tab
4 Tab iOS,1. smb iOS 2.4.x,Xiamen ZhiZhi Tech,iOS: Tab
Tab iOS,1. Drone iOS Segment  2. New Insurance Products for iOS,Xiamen ZhiZhi Tech,iOS: Tab
Misc,Rent (per seat x 12),Xiamen ZhiZhi Tech,Misc. expenses
Misc,Richmond Hotel x 2 (johnny/isaac),Xiamen ZhiZhi Tech,Misc. expenses
Misc,hotel -> nyc jfk shuttle,Xiamen ZhiZhi Tech,Misc. expenses
Misc,NYC Bowery 50 Hotel destination fee x 2 (johnny/ isaac),Xiamen ZhiZhi Tech,Misc. expenses
Misc,xiamen annual party + dinner,Xiamen ZhiZhi Tech,Misc. expenses
Misc,nyc jfk -> hotel shuttle,Xiamen ZhiZhi Tech,Misc. expenses
Misc,VISA interview fee (Isaac/Johnny - $160 x 2),Xiamen ZhiZhi Tech,Misc. expenses
Misc,Johnny‰Ûªs trip for visa interview (round-trip flight and one night hotel),Xiamen ZhiZhi Tech,Misc. expenses
Misc,"Macbook (John, Olivia)",Xiamen ZhiZhi Tech,Misc. expenses
Misc,"LCD (John, Olivia)",Xiamen ZhiZhi Tech,Misc. expenses
Misc,semi-annual prize (Winnie),Xiamen ZhiZhi Tech,Misc. expenses
Misc,LCD ($300) x 8,Xiamen ZhiZhi Tech,Misc. expenses
18 Misc,thimble launch celebration activity,Xiamen ZhiZhi Tech,Misc. expenses
18 Misc,Macbook (Fred /Isaac),Xiamen ZhiZhi Tech,Misc. expenses
8 Misc,LCD (Fred),Xiamen ZhiZhi Tech,Misc. expenses
PM,1. Appsflyer Integration 2. AI Portal,Xiamen ZhiZhi Tech,PM: Maggie
Maggie PM,1. Segment Integration  2. Iterable Integration,Xiamen ZhiZhi Tech,PM: Maggie
PM,1. Project Management 2. Customer Referral Testing,Xiamen ZhiZhi Tech,PM: Tina
Tina PM,1. Project Management 2. Testing for widget/app (2.2.0),Xiamen ZhiZhi Tech,PM: Tina
Tina PM,1. Project Management  2. Testing for widget/app (2.4.x),Xiamen ZhiZhi Tech,PM: Tina
Carter Web,1. Web app 2.0 mobile version,Xiamen ZhiZhi Tech,Web: Carter
Web,1. Broker Portal web update 2. Wholesaler Broker widget,Xiamen ZhiZhi Tech,Web: Carter
Carter Web,1. Broker Purchase Project 2. Quick Wins,Xiamen ZhiZhi Tech,Web: Carter
Web,1. Thimble Monthly Webapp 2. Customer Referral Webapp 3. Purchase Confirmation Screen 4. Congrats Screen,Xiamen ZhiZhi Tech,Web: Fred
Fred Web,1. New Insurance Products 2. Event Coverage,Xiamen ZhiZhi Tech,Web: Fred
Jesse Web,1 1. mobile version desktop app,Xiamen ZhiZhi Tech,Web: Jesse
Sam Web,1. Segment Integration Contractor 2. Iterable Integration,Xiamen ZhiZhi Tech,Web: Sam
